AWS Data Pipeline,Amazon Data Pipeline
AWS Firewall Manager,Amazon Firewall Manager
AWS Elemental MediaLive,Amazon Elemental MediaLive
AWS Signer,Amazon Signer
Amazon Location Service,Amazon Location Service
AWS CodeBuild,Amazon CodeBuild
AWS Global Accelerator,Amazon Global Accelerator
Amazon FSx for Lustre,Amazon FSx for Lustre
Amazon Keyspaces,Amazon Keyspaces
Amazon MemoryDB,Amazon MemoryDB
AWS Health Dashboard,Amazon Health Dashboard
Amazon Quantum Ledger Database (QLDB),Amazon Quantum Ledger Database (QLDB)
Amazon WorkSpaces Application Manager,Amazon WorkSpaces Application Manager
AWS Device Farm,Amazon Device Farm
Amazon Backup,Amazon Backup
AWS Transfer Family,Amazon Transfer Family
Amazon WorkMail,Amazon WorkMail
AWS Cloud Map,Amazon Cloud Map
Elastic Load Balancing,Elastic Load Balancing
AWS CloudTrail,Amazon CloudTrail
AWS CodeStar,Amazon CodeStar
Amazon CodeDeploy,Amazon CodeDeploy
AWS HealthImaging,Amazon HealthImaging
Amazon Monitron,Amazon Monitron
Amazon Firewall Manager,Amazon Firewall Manager
VMware Cloud on AWS,VMware Cloud on Amazon
Amazon Keyspaces (for Apache Cassandra),Amazon Keyspaces (for Apache Cassandra)
Amazon Directory Service,Amazon Directory Service
Amazon Pinpoint,Amazon Pinpoint
AWS Verified Access,Amazon Verified Access
Amazon Direct Connect,Amazon Direct Connect
AWS OpsWorks Stacks,Amazon OpsWorks Stacks
AWS Database Migration Service,Amazon Database Migration Service
AWS PrivateLink,Amazon PrivateLink
AWS Telco Network Builder,Amazon Telco Network Builder
AWS IoT Greengrass,Amazon IoT Greengrass
Amazon Augmented AI (A2I),Amazon Augmented AI (A2I)
Amazon CodeGuru,Amazon CodeGuru
AWS IoT SiteWise,Amazon IoT SiteWise
Amazon Batch,Amazon Batch
AWS IoT Events,Amazon IoT Events
Amazon ElastiCache,Amazon ElastiCache
Amazon FSx for OpenZFS,Amazon FSx for OpenZFS
Amazon Connect,Amazon Connect
AWS Resource Explorer,Amazon Resource Explorer
Amazon Step Functions,Amazon Step Functions
Amazon QuickSight,Amazon QuickSight
AWS Directory Service,Amazon Directory Service
Amazon EC2 Auto Scaling,Amazon EC2 Auto Scaling
EC2 Image Builder,EC2 Image Builder
Amazon Cognito,Amazon Cognito
AWS DataSync,Amazon DataSync
Amazon Managed Streaming for Apache Kafka,Amazon Managed Streaming for Apache Kafka
Amazon Comprehend,Amazon Comprehend
Amazon Lumberyard,Amazon Lumberyard
Amazon Lookout for Vision,Amazon Lookout for Vision
Amazon DataSync,Amazon DataSync
Amazon FSx for Windows File Server,Amazon FSx for Windows File Server
AWS HealthOmics,Amazon HealthOmics
AWS Application Discovery Service,Amazon Application Discovery Service
Amazon Relational Database Service (RDS),Amazon Relational Database Service (RDS)
Amazon CloudFormation,Amazon CloudFormation
AWS License Manager,Amazon License Manager
Amazon Elastic Compute Cloud (EC2),Amazon Elastic Compute Cloud (EC2)
AWS IAM Identity Center,Amazon IAM Identity Center
Amazon Neptune,Amazon Neptune
AWS Support,Amazon Support
Amazon EventBridge,Amazon EventBridge
AWS IoT Core,Amazon IoT Core
Amazon File Cache,Amazon File Cache
Amazon Personalize,Amazon Personalize
AWS Ground Station,Amazon Ground Station
Amazon CloudWatch Logs,Amazon CloudWatch Logs
AWS Fargate,Amazon Fargate
AWS HealthLake,Amazon HealthLake
Amazon VPC Lattice,Amazon VPC Lattice
AWS Snowball,Amazon Snowball
Amazon AppSync,Amazon AppSync
Amazon Simple Email Service (SES),Amazon Simple Email Service (SES)
Amazon Chime SDK,Amazon Chime SDK
Amazon Serverless Application Repository,Amazon Serverless Application Repository
Amazon DataZone,Amazon DataZone
Amazon Fargate,Amazon Fargate
AWS CodePipeline,Amazon CodePipeline
AWS Entity Resolution,Amazon Entity Resolution
AWS IoT 1-Click,Amazon IoT 1-Click
AWS RoboMaker,Amazon RoboMaker
Amazon IoT TwinMaker,Amazon IoT TwinMaker
